Catégorie;Problème identifié;Explication du problème;Bonne pratique à adopter;Action recommandée;Référence;Corrigé?
SEO;Pas de description dans le head lin: 8;La balise meta description doit contenir la description de la page.;Il est essentiel de remplir la description de votre page afin d’améliorer le référencement naturel. Un texte descriptif  de 160 caractères maximum. Cette description s’affichera dans les résultats google et permettra à l’utilisateur de comprendre très rapidement de quoi parle votre site.;Décrivez le mieux possible votre page dans la balise meta description. 140 à 160 caractères max.;https://developers.google.com/search/docs/advanced/appearance/snippet?hl=fr;√
SEO;Pas de titre de page dans le head lin:24;La balise meta title ne contient qu’un point.;Il est nécessaire de donner un titre de page afin d’améliorer considérablement votre référencement naturel.;Insérer un titre pertinent pour chaque page.;https://developers.google.com/search/docs/advanced/appearance/title-link?hl=fr;√
SEO;Keywords et doublon dans le head agence design lin:6;La balise meta keywords est dépréciée et n’améliore plus tellement votre SEO.;Il est conseillé d’abandonner cette pratique car elle n’a plus beaucoup d’intérêt pour votre SEO. Google préfère aujourd’hui un contenu rédactionnel de qualité où vous mettrez des mots clefs dans vos textes.;Enlever la balise meta keywords.;https://www.semjuice.com/definition/balise-meta-keywords;√
SEO;Utilisation de keywords dans le Alt des images ne décrit pas l’image lin:47 lin:81 lin:100 lin:143 lin:190 lin:203 lin:217 lin:230;Le texte alternatif de l’ensemble des images est le même et ne donne pas de contexte à celles-ci. Google peut considérer cette pratique comme du black hat.;Pour des raisons d’accessibilité, le texte alternatif doit donner le contexte de l’image. Il doit être alors différent sur chaque image. Vous pouvez en profiter pour y insérer des mots clefs mais n’en abusez pas. ;Ajouter une description de l’image et son contexte. Ajoutez si vous le pouvez quelques mots clefs afin d’améliorer votre référencement naturel.;https://www.w3.org/TR/WCAG20-TECHS/H37.html;X
SEO;lang= default ne passe pas la validation.choisir une langue.;La langue doit être spécifiée pour cibler précisément vos utilisateurs. La langue ici n’est pas spécifiée. Elle augmentera le taux de rebond.;Il est important de définir le langage de votre page. Elle optimisera grandement votre SEO et ciblera spécifiquement votre public localement.;Remplacer “default” par “fr”;https://developers.google.com/search/docs/advanced/crawling/localized-versions?hl=fr#html;√
SEO;Google analytics et google search console;Pour que vous puissiez avoir une vision globale et détaillée de votre campagne SEO, il sera nécessaire d’utiliser ces outils.;Commencez à utiliser ces outils permettra d’analyser les flux de vos utilisateurs, la qualité de vos mots clefs et des vos liens et d’adapter ainsi votre site. Le SEO n’est jamais figé et évolue dans le temps.;Mise en place des outils google analytics et google search console.;https://semji.com/fr/guide/google-search-console-outil-indispensable-seo/;√
SEO;Keyword stuffing;N’a pas d’intérêt voire est contreproductif.;Le keyword stuffing est une pratique considérée comme black hat par Google et elle est à proscrire. Quitte à mettre du contenu autant qu’il serve la marque. N’hésitez à créer du contenu de qualité avec de nouvelles sections ou de nouvelles pages.;Supprimer la div contenant du keyword stuffing.;https://developers.google.com/search/docs/advanced/guidelines/irrelevant-keywords;√
SEO;Les balises sémantiques usuelles ne sont pas utilisées (header, footer, section, nav, etc…);La page est mal structurée et ne comporte pas les balises nécessaires à votre navigateur de comprendre pleinement la structure de votre site. L’accessibilité est amoindrie.;Structurer la page avec les balises sémantiques usuelles permettront une meilleure accessibilité à votre page et améliorera ainsi votre SEO.;Ajouter les balises <body> <main> <header> <section> <footer>.;https://www.w3.org/TR/WCAG20-TECHS/G115.html;√
SEO;Div vides avec des keywords black hat lin:43;Une div qui ne sert pas à la structuration de votre page et remplie de mots clefs. Google le verra comme une pratique black hat.;Vous risquez d’être mal référencé voire au pire blacklisté en essayant de tromper les bots de Google. A proscrire.;Supprimer les balises vides remplies de mots clefs.;https://www.yateo.com/blog/keyword-stuffing;√
SEO;Footer rempli de liens =  black hat;Cette pratique peut être considérée par Google comme une pratique black hat car la quantité et la qualité des liens sont plutôt mauvaises. Les annuaires n’ont plus beaucoup d’intérêt dans le référencement aujourd’hui mais peuvent toujours être considéré comme des techniques black hat.;Il est recommandé d’insérer des liens de qualité directement dans votre contenu. Google comprendra mieux le contexte de votre page. Il n’est pas nécessaire d’en mettre trop voire imprudent car Google peut considérer que vous faites du “spamming” et vous blacklistera. Privilégiez des liens de qualité plutôt que la quantité. Cela améliorera considérablement votre référencement.;Suppression de tous liens sans rapport avec votre page. Trouver de bons partenaires et ajouter les liens dans le contenu de la page.;https://developers.google.com/search/docs/advanced/guidelines/link-schemes;√
SEO;Paris comme keyboard mais l’agence se trouve à Lyon;Vous cherchez à améliorer votre SEO local.;Il faudra exclure Paris de votre keywording. En effet vous cherchez des clients dans la région de Lyon il est impératif d’intégrer le nom de Lyon dans votre contenu pour améliorer votre SEO local. Il serait également intéressant de créer un compte google business.;Enlever tous les mots clefs “Paris” et insérer “Lyon” dans votre contenu. Inscrire La Panthère au près de google business.;https://www.guest-suite.com/blog/seo-local;X
SEO;Robot.txt ou balise <robot>;Cette balise (ou le fichier robots.txt) indique à Google d’indexer ou non la page.;Sauf si votre contenu ne doit pas être indexé, il est recommandé de le faire pour améliorer votre SEO;Ajout de la balise  meta “robot”.;https://fr.semrush.com/blog/robots-meta-x-robots-tag/;√
SEO;Il n’y a pas beaucoup de contenu.;Le manque de contenu desserre le SEO. Plus il y a du contenu plus vous pouvez y intégrer les liens de vos partenaires, des mots clefs et capter des visiteurs.;Il est conseillé de créer une “machine à contenu”, c’est à dire des pages où vous pourrez donner des conseils, tenir un blog, écrire des articles. Google y vera un site mis à jour régulièrement, ce qui sera un bonus en plus des mots clefs et liens que vous ajouterez.;Créer de nouvelles pages avec du contenu en rapport à votre activité.;https://www.wordstream.com/blog/ws/2012/01/17/seo-content-beginners-guide;X
Accessibilité;Images trop grandes.;Certaines images ont une résolution beaucoup trop grande par rapport à leur conteneur. Certaines images ne sont pas compressées. Elles ralentissent le chargement de votre site et entraînent une expérience utilisateur négative.;Pour optimisez les performances de votre site, adaptez les images dans une résolution adéquate.;Redimensionnez vos images à la taille adéquate et privilégiez une résolution selon l’appareil de l’utilisateur (mobile, tablette, desktop);https://carleton.ca/webservices/2022/picture-perfect-optimizing-your-images-for-seo-and-accessibility/;√
